,Name,Sex,Abdominal_pain,Abdominal_distention_left_side,Anemia,Anorexia,Blood_in_feaces,Blood_in_urine,Blood_leakage_from_natural_holes_of_dead_animal,Bottle_jaw,Change_in_diet,Changed_milk_taste,Circling,Cough,Constipation,Crepitation,Depression,Dehydration,Dental_pad,Diarrhea,Difficult_movement,Dog_bite,Dyspnea,Eat_cloth_bones,Emaciation,Enlarged_lymph_nodes,Excitements,Facial_distortion,Faulty_drenching,Feet_foul_odor,Feet_lesions,Fever,Gas_accumulation,Hair_loss,Hard_feaces,Hard_Tongue,Head_pressing,Increased_heart_rate,Itching,Itching_in_Nose,Knee_swelling,Lameness,Lose_feaces,Milk_abnormalities,Milk_reduction,Mouth_discharge,Mouth_frothing,Mouth_lesions,Moving_in_circle,Nasal_discharge,Neck_swelling,Necrotic_stomatitis,Ocular_discharge,Oculonasal_discharge,Off_feed,Overfeeding,Paralysis,Pica,Phoyophia,Poor_growth,Pox_lesion,Red_moist_feet,Respiratory_distress,Restlessness,Ruptured_Lymph_Nodes,Salivation,Severe_itching,Skin_lesion_red,Skin_lesion,Sneezing,Subnormal_temperature,Sudden_death,Swollen_joints,Swollen_Jaw,Tachypnea,Teat_hole_blockage,Teats_inflammation,Teats_lesions,Temperature_fluctuation,Ticks_presence,Tick_worry,Tremors,Udder_infection,Udder_inflammation,Udder_lesion,Unable_to_stand,Uncoordinated_movements,Urine_block,Vaginal_infection,Vaginal_discharge,Wasting,Weakness,Weight_loss,Wheezes,Worms_in_feaces,Wounded,Yellow_eyes,Yellow_mucous_membrane,DiseaseName.1
,Buffalo,Male,,,,,,,,,,,,,,,0.9,,,0.3,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.9,,,,,,Digestive System Disorder
,Buffalo ,Male,,,,,0.9,,,,,,,,,,,0.9,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,Digestive System Disorder
5,Buffalo,Male,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
58,Buffalo,Female,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
109,Buffalo,Female,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drenching Pneumonia
111,Buffalo,Female,,,,Anorexia,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,Tachypnea,,,,,,,,,,,,,,,,,Weakness,,Wheezes,,,,,Drenching Pneumonia
316,Cattle,Female,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
422,Goat,Male,,,,Anorexia,,,,,,,,Cough,,,Depression,,,,,,,,,,,,,,,,,Hair/Wool loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tachypnea,,,,,,,,,,,,,,,,,,,,,,,,Drenching Pneumonia
492,Goat,Male,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
496,Goat,Male,,,,,,,,,,,,,,,,,,,,,Dyspnea,,,,,,,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
617,Goat,Female,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
710,Sheep,Male,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drenching Pneumonia
711,Sheep,Male,,,,,,,,,,,,,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,Yellow Mucous Membrane,Drenching Pneumonia
712,Sheep,Male,,,,Anorexia,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,,,,,Oculonasal discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
743,Sheep,Male,,,,,,,,,,,,Cough,,,,,,,,,Dyspnea,,,,,,Faulty drenching,,,,,,,,,,,,,,,,,,,,,Discharge from nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wheezes,,,,,Drenching Pneumonia
,Goat,Female,0.9,,,0.9,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,Fasciolosis
116,Buffalo,Female,,Abdomen's expansion/swelling on left side,,Anorexia,,,,Bottle jaw,,,,,,,,,,Diarrhea,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fasciolosis
6,Buffalo,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
7,Buffalo,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
8,Buffalo,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
37,Buffalo,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
38,Buffalo,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
59,Buffalo,Female,,,,,,,,,,,,,,,,,,Diarrhea,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
60,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
117,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,Milk abnormalities - watery/discoloration/clots/flakes/pus,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
118,Buffalo,Female,,,,,,,,,,,,,,,,,,Diarrhea,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,,,,Decrease in milk production,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
119,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lameness,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
120,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
122,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
123,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
124,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,Decrease in milk production,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
125,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,Decrease in milk production,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
126,Buffalo,Female,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
127,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
128,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
213,Cattle,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
221,Cattle,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
222,Cattle,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
223,Cattle,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
260,Cattle,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,Lameness,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
271,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skin lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
277,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
278,Cattle,Female,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,Lameness,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
317,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,Milk abnormalities - watery/discoloration/clots/flakes/pus,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
319,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,Milk abnormalities - watery/discoloration/clots/flakes/pus,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
320,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,Lameness,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
321,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,,,,Decrease in milk production,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
322,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
323,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,Decrease in milk production,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
324,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,Lameness,,,Decrease in milk production,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
325,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,Decrease in milk production,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
326,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
327,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
328,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,Decrease in milk production,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
329,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decrease in milk production,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
330,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
331,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
332,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
333,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,Mouth frothing,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
334,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
335,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,Fever,,,,,,,,,,,,,Decrease in milk production,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
499,Goat,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
618,Goat,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
659,Goat,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
713,Sheep,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
714,Sheep,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
790,Sheep,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
796,Sheep,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,,,,,,,Blisters/lesions in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
,Cattle,Female,,,,0.9,,,,,,,,,,,,,0.9,,,,,,,0.9,,,,,,0.9,,,,,,,,,,0.9,,,0.9,,,0.9,,,,,,,0.9,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,Foot and Mouth Disease (FMD)
,Cattle,Female,,,,,,,,,,,,,,,0.9,,,,0.9,,,,,0.9,,,,,,0.9,,,,,,,,,,0.9,,,,,,0.9,,,,,,,0.9,,,,,,,,,,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
,Goat,Female,,,,,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,0.9,0.3,,0.9,,,,,0.9,,,,,,,,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot and Mouth Disease (FMD)
39,Buffalo,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
61,Buffalo,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad/foul foot odour,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
224,Cattle,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad/foul foot odour,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
336,Cattle,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad/foul foot odour,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
500,Goat,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad/foul foot odour,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
619,Goat,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad/foul foot odour,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
744,Sheep,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
797,Sheep,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad/foul foot odour,Blisters/lesions on feet,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,Red and moist feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
,Cattle,Male,,,,0.9,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot Rot
,Cattle,Female,,,,0.9,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.9,,,,,,0.9,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.9,,,Foot Rot
337,Cattle,Female,,,,,,,,,,,Circling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
501,Goat,Male,,,,,,,,,,,Circling,,,,Depression,,,,,,,,,,,,,,,,,,,,Pressing head against wall or any object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
503,Goat,Male,,,,,,,,,,,Circling,,,,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
504,Goat,Male,,,,,,,,,,,Circling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
620,Goat,Female,,,,,,,,,,,Circling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
621,Goat,Female,,,,Anorexia,,,,,,,Circling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oculonasal discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
660,Goat,Female,,,,,,,,,,,Circling,,,,Depression,,,,,,,,,,,,,,,,,,,,Pressing head against wall or any object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
715,Sheep,Male,,,,,,,,,,,Circling,,,,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GID
